SampleID	PrimerPairID	BarcodeID	ProjectID	MiSeqRun
Arnica_latifolia_14303	rbcL_5	Juliett466	rbcL	150807
Arnica_latifolia_14303	trnT	Bravo82	trn_ab	150807
Arnica_latifolia_14303	trnLF	Bravo86	trn_cf	150807
Arnica_latifolia_14303	ITS	Juliett477	ITS	150807
Arnica_latifolia_14316	rbcL_5	Golf289	rbcL	150807
Arnica_latifolia_14316	ITS	Alpha12	ITS	150807
Arnica_latifolia_14316	trnLF	Charlie101	trn_cf	150807
Arnica_latifolia_14316	trnT	Charlie97	trn_ab	150807
Arnica_latifolia_14361	ITS	Bravo61	ITS	150807
Arnica_latifolia_14361	rbcL_5	Golf335	rbcL	150807
Arnica_latifolia_14361	trnT	Charlie143	trn_ab	150807
Arnica_latifolia_14361	trnLF	Delta148	trn_cf	150807
Arnica_latifolia_14599	ITS	Foxtrot267	ITS	150807
Arnica_latifolia_14599	trnT	Foxtrot252	trn_ab	150807
Arnica_latifolia_14599	rbcL_5	Foxtrot252	rbcL	150807
Arnica_latifolia_14599	trnLF	Foxtrot265	trn_cf	150807
Arnica_latifolia_var_gracilis_13577	trnT	Golf332	trn_ab	150807
Arnica_latifolia_var_gracilis_13577	rbcL_5	Kilo524	rbcL	150807
Arnica_latifolia_var_gracilis_14128	trnT	Hotel377	trn_ab	150807
Arnica_latifolia_var_gracilis_14128	rbcL_5	Lima569	rbcL	150807
Arnica_mollis_14453	trnT	Echo205	trn_ab	150807
Arnica_mollis_14453	ITS	Echo212	ITS	150807
Arnica_mollis_14453	rbcL_5	Echo205	rbcL	150807
Arnica_mollis_14453	trnLF	Echo210	trn_cf	150807
Arnica_parryi_14240	trnLF	Alpha22	trn_cf	150807
Arnica_parryi_14240	ITS	India407	ITS	150807
Arnica_parryi_14240	trnT	Alpha27	trn_ab	150807
Arnica_parryi_14240	rbcL_5	India411	rbcL	150807
Artemisia_dracunculus_14284	ITS	Juliett452	ITS	150807
Artemisia_dracunculus_14284	trnT	Bravo64	trn_ab	150807
Artemisia_dracunculus_14284	trnLF	Bravo76	trn_cf	150807
Artemisia_dracunculus_14284	rbcL_5	Juliett448	rbcL	150807
Erigeron_glacialis_14609	trnT	Foxtrot265	trn_ab	150807
Erigeron_glacialis_14609	trnLF	Foxtrot270	trn_cf	150807
Erigeron_glacialis_14609	ITS	Foxtrot272	ITS	150807
Erigeron_glacialis_14609	rbcL_5	Foxtrot265	rbcL	150807
Aster_foliaceus_var_apricus_14430	rbcL_5	Hotel377	rbcL	150807
Aster_foliaceus_var_apricus_14430	trnLF	Delta182	trn_cf	150807
Aster_foliaceus_var_apricus_14430	ITS	Bravo88	ITS	150807
Aster_foliaceus_var_apricus_14430	trnT	Delta185	trn_ab	150807
Aster_foliaceus_var_apricus_14583	trnT	Echo236	trn_ab	150807
Aster_foliaceus_var_apricus_14583	ITS	Foxtrot251	ITS	150807
Aster_foliaceus_var_apricus_14583	trnLF	Foxtrot249	trn_cf	150807
