"","Row.names","species","ITS","trnTLF","rbcL","matK","atpB","ndhF","Meadow","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"73","Ericameria_suffruticosa","Ericameria_suffruticosa","miseq|14657",NA,NA,"miseq|14657",NA,"miseq|14657",1,0,1,1,0,0,0,0,0,0
"74","Erigeron","Erigeron_NA","miseq|14667",NA,NA,"miseq|14667",NA,"miseq|14667",1,0,0,1,0,0,0,0,0,0
"75","Erigeron_asperugineus","Erigeron_asperugineus",NA,NA,NA,"miseq|14247",NA,"miseq|14247",0,0,1,0,0,0,0,0,0,0
"76","Erigeron_compositus","Erigeron_compositus","miseq|13537","miseq|13537","miseq|14009","miseq|13537","miseq|14009","miseq|13537",0,1,1,1,0,1,1,1,1,1
"77","Erigeron_evermannii","Erigeron_evermannii","miseq|13578","miseq|13578",NA,"miseq|13578","miseq|14224","miseq|13578",0,1,0,0,1,0,0,0,1,0
"78","Erigeron_glacialis","Erigeron_glacialis","miseq|14609","ncbi|390431481",NA,"miseq|14609","miseq|14609","miseq|14609",0,0,0,0,0,1,0,0,0,0
"79","Erigeron_grandiflorus","Erigeron_grandiflorus","miseq|14012","miseq|14012",NA,"miseq|14012","miseq|14012","miseq|14012",1,0,0,0,0,1,1,0,0,1
"80","Erigeron_lonchophyllus","Erigeron_lonchophyllus","miseq|14612",NA,"miseq|14612","miseq|14612","miseq|14612","miseq|14612",0,0,0,0,0,1,0,0,0,0
"81","Eriogonum_crocatum","Eriogonum_crocatum",NA,NA,NA,NA,NA,"miseq|14681",0,0,0,1,0,0,0,0,0,0
"82","Eriogonum_crosbyae","Eriogonum_crosbyae",NA,"miseq|13541","miseq|14350",NA,"miseq|14242","miseq|13541",0,0,1,0,0,1,0,0,1,1
"83","Eriogonum_flavum_var_piperi","Eriogonum_flavum",NA,"ncbi|17426705","ncbi|2815237","ncbi|15340963","miseq|14650","miseq|14650",1,0,0,1,0,0,0,0,0,0
"84","Eriogonum_ovalifolium","Eriogonum_ovalifolium",NA,"miseq|13542","miseq|14349","ncbi|529274093","miseq|13542","miseq|13542",1,1,1,1,1,1,1,1,1,1
"85","Eriogonum_pyrolifolium","Eriogonum_pyrolifolium","miseq|14126","miseq|13567","miseq|14126",NA,"miseq|13567","miseq|13567",0,1,0,0,1,0,0,0,0,0
"86","Eritrichium_argenteum","Eritrichium_argenteum","miseq|14713","ncbi|399606334",NA,"miseq|14713",NA,"miseq|14713",0,0,0,1,0,0,0,0,0,1
"87","Erysimum_capitatum","Erysimum_capitatum","ncbi|9957688","ncbi|312182215","miseq|14302","miseq|14235","miseq|14235","miseq|14235",0,0,0,0,1,0,1,0,0,0
"88","Erythranthe_tilingii","Erythranthe_tilingii","ncbi|46392999","ncbi|19224302",NA,"miseq|14413","miseq|14413","miseq|14413",1,0,0,0,0,1,0,1,0,0
"89","Festuca_brachyphylla_ssp_brachyphylla","Festuca_brachyphylla","miseq|13566","miseq|13566",NA,"ncbi|371533490","miseq|13566","miseq|13566",0,1,1,0,0,1,1,0,0,0
"90","Gentiana_calycosa","Gentiana_calycosa","miseq|14032","miseq|14032","miseq|14577","miseq|14032","miseq|14414","miseq|14032",1,0,0,1,0,1,0,1,0,1
"91","Heuchera_parvifolia","Heuchera_parvifolia","miseq|14625",NA,"miseq|14216","miseq|14216","miseq|14216","miseq|14216",0,0,1,0,1,1,1,1,1,0
"92","Hieracium_triste","Hieracium_triste","miseq|14017","miseq|14017",NA,"miseq|14017","miseq|14017","miseq|14017",1,0,0,0,0,0,1,0,0,1
