"","x"
"331","Sedum_lanceolatum_var_lanceolatum_14444"
"332","Sedum_lanceolatum_var_lanceolatum_14300"
"333","Sedum_lanceolatum_var_lanceolatum_13576"
"334","Sedum_lanceolatum_var_lanceolatum_14611"
"335","Sedum_lanceolatum_var_lanceolatum_14655"
"336","Sedum_debile_14656"
"337","Sedum_debile_14272"
"338","Heuchera_parvifolia_var_dissecta_14449"
"339","Heuchera_parvifolia_var_dissecta_14625"
"340","Heuchera_parvifolia_var_dissecta_14250"
"341","Heuchera_parvifolia_var_dissecta_14320"
"342","Heuchera_parvifolia_var_dissecta_14216"
"343","Heuchera_parvifolia_var_dissecta_14346"
"344","Saxifraga_bronchialis_14006"
"345","Saxifraga_oppositifolia_14708"
"346","Saxifraga_mertensiana_14424"
"347","Saxifraga_mertensiana_14570"
"348","Ribes_lacustre_14618"
"349","Ribes_lacustre_14259"
"350","Ribes_lacustre_14436"
"351","Ribes_lacustre_14002"
"352","Anemone_drummondii_var_drummondii_13562"
"353","Anemone_drummondii_14309"
"354","Anemone_drummondii_14682"
"355","Ranunculus_eschscholtzii_var_eschscholtzii_14027"
"356","Ranunculus_eschscholtzii_14239"
"357","Aquilegia_flavescens_14428"
"358","Unknown_14281"
"359","unknown_14357"
"360","Unknown_14643"
"361","Poa_sp_14007"
"362","Poa_sp_14132"
"363","Poa_sp_13568"
"364","Unknown_14642"
"365","Unknown_14462"
"366","Unknown_14674"
"367","Unknown_14282"
"368","Unknown_14367"
"369","Juncus_sp_14590"
"370","Unknown_14423"
"371","Unknown_14594"
"372","Festuca_sp_14318"
"373","Poa_sp_13566"
"374","Festuca_sp_14262"
"375","Unknown_14640"
"376","Unknown_14407"
"377","Unknown_14662"
"378","Unknown_14585"
"379","Unknown_14636"
"380","Unknown_14356"
"381","Unknown_14439"
"382","Hordium_sp_14225"
"383","Unknown_14251"
"384","Unknown_14673"
"385","Poa_sp_13551"
"386","Unknown_14641"
"387","Unknown_14319"
"388","Poa_sp_13552"
"389","Unknown_14261"
"390","Unknown_14463"
"391","Unknown_14317"
"392","Unknown_14313"
"393","Unknown_14358"
"394","Stipa_sp_13553"
"395","Unknown_14411"
"396","Unknown_14692"
"397","Unknown_14677"
"398","Unknown_14652"
"399","Luzula_sp_14295"
"400","Poa_sp_13567"
"401","Poa_sp_14138"
"402","Stipa_sp_13552"
"403","Unknown_14639"
"404","Carex_sp_14026"
"405","Carex_sp_13550"
"406","Carex_sp_14018"
"407","Carex_sp_14458"
"408","Carex_sp_13564"
"409","Carex_sp_13549"
"410","Carex_elynoides_14603"
"411","Carex_cf_straminiformis_14468"
"412","Carex_sp_14226"
"413","Carex_sp_13563"
"414","Carex_sp_13548"
"415","Carex_cf_straminiformis_14635"
"416","Carex_microptera_14638"
"417","Juncus_sp_13547"
"418","Juncus_sp_14003"
"419","Juncus_sp_13548"
"420","Luzula_sp_14269"
"421","Luzula_sp_142691"
"422","Juncus_sp_13572"
"423","Juncus_sp_14637"
"424","Juncus_sp_14440"
"425","Luzula_sp_14025"
"426","Luzula_sp_14129"
"427","Juncus_sp_14263"
"428","Juncus_sp_14325"
"429","Luzula_sp_14228"
"430","Juncus_sp_14658"
"431","Abies_lasiocarpa_14232"
"432","Abies_lasiocarpa_14029"
"433","Abies_lasiocarpa_14351"
"434","Picea_engelmannii_13571"
"435","Pinus_albicaulis_13573"
"436","Pinus_albicaulis_14030"
"437","Pinus_albicaulis_14231"
"438","Juniperus_communis_14031"
"439","Juniperus_communis_14233"
"440","Juniperus_communis_14285"
"441","Juniperus_communis_14330"
