"","Tip.Label.160511","Meadow","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"133","Festuca_sp_14318",0,0,0,0,0,0,1,0,0,0
"134","Unknown_14319",0,0,0,0,0,0,1,0,0,0
"135","Heuchera_parvifolia_var_dissecta_14320",0,0,0,0,0,0,1,0,0,0
"136","Hulsea_algida_14321",0,0,0,0,0,0,1,0,0,0
"137","Antennaria_alpina_14322",0,0,0,0,0,0,1,0,0,0
"138","Sibbaldia_procumbens_14323",0,0,0,0,0,0,1,0,0,0
"139","Juncus_sp_14325",0,0,0,0,0,0,1,0,0,0
"140","Eriogonum_ovalifolium_14327",0,0,0,0,0,0,1,0,0,0
"141","Potentilla_brevifolia_14328",0,0,0,0,0,0,1,0,0,0
"142","Oxyria_digyna_14329",0,0,0,0,0,0,1,0,0,0
"143","Juniperus_communis_14330",0,0,0,0,0,0,1,0,0,0
"144","Castilleja_cusickii_14331",1,0,0,0,0,0,0,0,1,0
"145","Castilleja_miniata_14332",1,0,0,0,0,0,0,0,1,0
"146","Senecio_fremontii_14334",0,0,0,0,0,0,0,0,1,0
"147","Draba_oreibata_14335",0,0,0,0,0,0,0,0,1,0
"148","Collomia_debilis_14336",0,0,0,0,0,0,0,0,1,0
"149","Chaenactis_alpina_14337",0,0,0,0,0,0,0,0,1,0
"150","Senecio_werneriifolius_14338",0,0,0,0,0,0,0,0,1,0
"151","Epilobium_alpinum_14339",0,0,0,0,0,0,0,0,1,0
"152","Erigeron_evermannii_14340",0,0,0,0,0,0,0,0,1,0
"153","Claytonia_megarhiza_14341",0,0,0,0,0,0,0,0,1,0
"154","Haplopappus_macronema_14342",0,0,0,0,0,0,0,0,1,0
"155","Oxyria_digyna_14343",0,0,0,0,0,0,0,0,1,0
"156","Eriogonum_ovalifolium_14344",0,0,0,0,0,0,0,0,1,0
"157","Arabis_cf_lemmonii_14345",0,0,0,0,0,0,0,0,1,0
"158","Heuchera_parvifolia_var_dissecta_14346",0,0,0,0,0,0,0,0,1,0
"159","Ivesia_gordonii_14347",0,0,0,0,0,0,0,0,1,0
"160","Antennaria_microphylla_14348",0,0,0,0,0,0,0,0,1,0
"161","Eriogonum_ovalifolium_14349",0,0,0,0,0,0,0,0,1,0
"162","Eriogonum_crosbyae_14350",0,0,0,0,0,0,0,0,1,0
"163","Abies_lasiocarpa_14351",0,0,0,0,0,0,0,0,1,0
"164","Smelowskia_calycina_14352",0,0,0,0,0,0,0,0,1,0
"165","Polemonium_viscosum_14353",0,0,0,0,0,0,0,0,1,0
"166","Erigeron_compositus_14355",0,0,0,0,0,0,0,0,1,0
"167","Unknown_14356",0,0,0,0,0,0,0,0,1,0
"168","unknown_14357",0,0,0,0,0,0,0,0,1,0
"169","Unknown_14358",0,0,0,0,0,0,0,0,1,0
"170","Phyllodoce_empetriformis_14359",1,0,0,0,0,0,0,0,1,0
"171","Antennaria_alpina_14360",1,0,0,0,0,0,0,0,1,0
"172","Arnica_latifolia_14361",1,0,0,0,0,0,0,0,1,0
"173","Tonestus_lyallii_14362",1,0,0,0,0,0,0,0,1,0
"174","Erigeron_evermannii_14363",1,0,0,0,0,0,0,0,1,0
"175","Draba_cf_oreibata_14404",1,0,0,0,0,0,0,0,1,0
"176","Bupleurum_americanum_14364",1,0,0,0,0,0,0,0,1,0
"177","Potentilla_glandulosa_14405",1,0,0,0,0,0,0,0,1,0
"178","Hulsea_algida_14365",1,0,0,0,0,0,0,0,1,0
"179","Eriogonum_ovalifolium_14366",1,0,0,0,0,0,0,0,1,0
"180","Unknown_14367",1,0,0,0,0,0,0,0,1,0
"181","Castilleja_cusickii_14238",0,0,1,0,0,0,0,0,0,0
"182","Ranunculus_eschscholtzii_14239",0,0,1,0,0,0,0,0,0,0
"183","Arnica_parryi_14240",0,0,1,0,0,0,0,0,0,0
"184","Draba_cf_densifolia_14241",0,0,1,0,0,0,0,0,0,0
"185","Eriogonum_crosbyae_14242",0,0,1,0,0,0,0,0,0,0
"186","Senecio_werneriifolius_14243",0,0,1,0,0,0,0,0,0,0
"187","Eriogonum_ovalifolium_14244",0,0,1,0,0,0,0,0,0,0
"188","Phacelia_hastata_14245",0,0,1,0,0,0,0,0,0,0
"189","Lomatium_idahoensis_14246",0,0,1,0,0,0,0,0,0,0
"190","Erigeron_asperugineus_14247",0,0,1,0,0,0,0,0,0,0
"191","Erigeron_compositus_14248",0,0,1,0,0,0,0,0,0,0
"192","Minuartia_obtusiloba_14249",0,0,1,0,0,0,0,0,0,0
"193","Heuchera_parvifolia_var_dissecta_14250",0,0,1,0,0,0,0,0,0,0
"194","Unknown_14251",0,0,1,0,0,0,0,0,0,0
"195","Epilobium_alpinum_14252",0,0,1,0,0,0,0,0,0,0
"196","Phlox_cf_pulvinata_14254",0,0,1,0,0,0,0,0,0,0
"197","Potentilla_glandulosa_14255",0,0,1,0,0,0,0,0,0,0
"198","Sibbaldia_procumbens_14256",0,0,1,0,0,0,0,0,0,0
"199","Oxyria_digyna_14257",0,0,1,0,0,0,0,0,0,0
"200","Antennaria_alpina_14258",0,0,1,0,0,0,0,0,0,0
"201","Ribes_lacustre_14259",0,0,1,0,0,0,0,0,0,0
"202","Unknown_14261",0,0,1,0,0,0,0,0,0,0
"203","Festuca_sp_14262",0,0,1,0,0,0,0,0,0,0
"204","Juncus_sp_14263",0,0,1,0,0,0,0,0,0,0
"205","Arabis_cf_lemmonii_14266",0,0,1,0,0,0,0,0,0,0
"206","Claytonia_megarhiza_14267",0,0,1,0,0,0,0,0,0,0
"207","Draba_cf_lonchocarpa_14268",0,0,1,0,0,0,0,0,0,0
"208","Luzula_sp_14269",0,0,1,0,0,0,0,0,0,0
"209","Polemonium_viscosum_14271",0,0,1,0,0,0,0,0,0,0
"210","Sedum_debile_14272",0,0,1,0,0,0,0,0,0,0
"211","Antennaria_rosea_14273",0,0,1,0,0,0,0,0,0,0
"212","Haplopappus_macronema_14274",0,0,1,0,0,0,0,0,0,0
"213","Senecio_fremontii_14275",0,0,1,0,0,0,0,0,0,0
"214","Hulsea_algida_14276",0,0,1,0,0,0,0,0,0,0
"215","Senecio_werneriifolius_14277",0,0,1,0,0,0,0,0,0,0
"216","Stenotus_acaulis_14278",0,0,1,0,0,0,0,0,0,0
"217","Penstemon_montanus_var_idahoensis_14279",0,0,1,0,0,0,0,0,0,0
"218","Eriogonum_ovalifolium_14280",0,0,1,0,0,0,0,0,0,0
"219","Unknown_14281",0,0,1,0,0,0,0,0,0,0
"220","Unknown_14282",0,0,1,0,0,0,0,0,0,0
"221","Chaenactis_alpina_14283",0,0,1,0,0,0,0,0,0,0
"222","Artemisia_dracunculus_14284",0,0,1,0,0,0,0,0,0,0
"223","Juniperus_communis_14285",0,0,1,0,0,0,0,0,0,0
"224","Lupinus_argenteus_var_depressus_14286",0,0,1,0,0,0,0,0,0,0
"225","Achillea_millefolium_var_alpicola_14287",0,0,1,0,0,0,0,0,0,0
"226","Cirsium_subniveum_14288",0,0,1,0,0,0,0,0,0,0
"227","Castilleja_cusickii_14368",1,0,0,0,0,0,0,1,0,0
"228","Castilleja_miniata_14369",1,0,0,0,0,0,0,1,0,0
