"","PHLAWD","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"70","Potentilla_brevifolia",0,1,0,0,0,1,0,0,0
"71","Potentilla_glaucophylla",0,0,0,0,0,0,1,0,0
"72","Ranunculus_eschscholtzii",0,1,0,0,0,0,0,0,0
"73","Ribes_lacustre",1,1,0,0,1,0,1,0,0
"74","Sabulina_nuttallii",0,0,1,0,0,1,0,0,1
"75","Saxifraga_bronchialis",1,0,0,0,0,0,0,0,0
"76","Saxifraga_oppositifolia",0,0,1,0,0,0,0,0,0
"77","Sedum_lanceolatum",1,0,0,1,1,1,1,0,1
"78","Selaginella_densa",0,1,0,0,0,0,0,1,0
"79","Sibbaldia_procumbens",1,1,0,1,0,1,0,0,0
"80","Smelowskia_calycina",0,0,1,0,1,0,1,1,1
"81","Solidago_multiradiata",0,0,0,1,0,0,0,0,0
"82","Stenotus_acaulis",0,1,1,0,0,0,0,0,1
"83","Symphyotrichum_foliaceum",0,0,0,0,0,0,1,0,0
"84","Tonestus_lyallii",0,1,0,0,1,1,0,0,0
