"","Tip.Label.160511","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"216","Phyllodoce_empetriformis_14291",0,0,0,0,0,1,0,0,0
"217","Phyllodoce_glanduliflora_14290",0,0,0,0,0,1,0,0,0
"218","Picea_engelmannii_13571",1,0,0,0,0,0,0,0,0
"219","Pinus_albicaulis_13573",1,0,0,0,0,0,0,0,0
"220","Pinus_albicaulis_14231",0,0,0,1,0,0,0,0,0
"221","Poa_sp_13551",0,0,0,0,0,0,0,0,1
"222","Poa_sp_13566",1,0,0,0,0,0,0,0,0
"223","Poa_sp_13568",1,0,0,0,0,0,0,0,0
"224","Poa_sp_14007",1,0,0,0,0,0,0,0,0
"225","Poa_sp_14132",0,0,0,1,0,0,0,0,0
"226","Poa_sp_14138",0,0,0,1,0,0,0,0,0
"227","Polemonium_viscosum_13554",0,0,0,0,0,0,0,0,1
"228","Polemonium_viscosum_14271",0,1,0,0,0,0,0,0,0
"229","Polemonium_viscosum_14353",0,0,0,0,0,0,0,1,0
"230","Polemonium_viscosum_14467",0,0,0,0,0,0,1,0,0
"231","Polemonium_viscosum_14633",0,0,0,0,1,0,0,0,0
"232","Polemonium_viscosum_14698",0,0,1,0,0,0,0,0,0
"233","Potentilla_brevifolia_14328",0,0,0,0,0,1,0,0,0
"234","Potentilla_glandulosa_14255",0,1,0,0,0,0,0,0,0
"235","Potentilla_glandulosa_14314",0,0,0,0,0,1,0,0,0
"236","Potentilla_glandulosa_14442",0,0,0,0,0,0,1,0,0
"237","Potentilla_glandulosa_14634",0,0,0,0,1,0,0,0,0
"238","Potentilla_glandulosa_var_glandulosa_14230",0,0,0,1,0,0,0,0,0
"239","Potentilla_glaucophylla_var_glaucophylla_14426",0,0,0,0,0,0,1,0,0
"240","Ranunculus_eschscholtzii_14239",0,1,0,0,0,0,0,0,0
"241","Ribes_lacustre_14002",1,0,0,0,0,0,0,0,0
"242","Ribes_lacustre_14259",0,1,0,0,0,0,0,0,0
"243","Ribes_lacustre_14436",0,0,0,0,0,0,1,0,0
"244","Ribes_lacustre_14618",0,0,0,0,1,0,0,0,0
"245","Saxifraga_bronchialis_14006",1,0,0,0,0,0,0,0,0
"246","Saxifraga_oppositifolia_14708",0,0,1,0,0,0,0,0,0
"247","Sedum_debile_14272",0,1,0,0,0,0,0,0,0
"248","Sedum_lanceolatum_var_lanceolatum_13539",0,0,0,0,0,0,0,0,1
"249","Sedum_lanceolatum_var_lanceolatum_13576",1,0,0,0,0,0,0,0,0
"250","Sedum_lanceolatum_var_lanceolatum_14137",0,0,0,1,0,0,0,0,0
"251","Sedum_lanceolatum_var_lanceolatum_14300",0,0,0,0,0,1,0,0,0
"252","Sedum_lanceolatum_var_lanceolatum_14444",0,0,0,0,0,0,1,0,0
"253","Sedum_lanceolatum_var_lanceolatum_14611",0,0,0,0,1,0,0,0,0
"254","Senecio_fremontii_14005",1,0,0,0,0,0,0,0,0
"255","Senecio_fremontii_14275",0,1,0,0,0,0,0,0,0
"256","Senecio_fremontii_14334",0,0,0,0,0,0,0,1,0
"257","Senecio_fremontii_14466",0,0,0,0,0,0,1,0,0
"258","Senecio_fremontii_14707",0,0,1,0,0,0,0,0,0
"259","Senecio_werneriifolius_14243",0,1,0,0,0,0,0,0,0
"260","Senecio_werneriifolius_14277",0,1,0,0,0,0,0,0,0
"261","Senecio_werneriifolius_14338",0,0,0,0,0,0,0,1,0
"262","Senecio_werneriifolius_14685",0,0,1,0,0,0,0,0,0
"263","Sibbaldia_procumbens_13574",1,0,0,0,0,0,0,0,0
"264","Sibbaldia_procumbens_14227",0,0,0,1,0,0,0,0,0
"265","Sibbaldia_procumbens_14256",0,1,0,0,0,0,0,0,0
"266","Sibbaldia_procumbens_14323",0,0,0,0,0,1,0,0,0
"267","Smelowskia_calycina_13550",0,0,0,0,0,0,0,0,1
"268","Smelowskia_calycina_14352",0,0,0,0,0,0,0,1,0
"269","Smelowskia_calycina_14465",0,0,0,0,0,0,1,0,0
"270","Smelowskia_calycina_14469",0,0,0,0,0,0,1,0,0
"271","Smelowskia_calycina_14617",0,0,0,0,1,0,0,0,0
"272","Smelowskia_calycina_14693",0,0,1,0,0,0,0,0,0
"273","Solidago_multiradiata_14124",0,0,0,1,0,0,0,0,0
"274","Stenotus_acaulis_14278",0,1,0,0,0,0,0,0,0
"275","Stenotus_acaulis_14704",0,0,1,0,0,0,0,0,0
"276","Stipa_sp_13552",0,0,0,0,0,0,0,0,1
"277","Taraxacum_lyratum_14443",0,0,0,0,0,0,1,0,0
"278","Taraxacum_lyratum_14615",0,0,0,0,1,0,0,0,0
"279","Tonestus_lyallii_14308",0,0,0,0,0,1,0,0,0
"280","Tonestus_lyallii_14622",0,0,0,0,1,0,0,0,0
"281","Unknown_14219",0,0,0,1,0,0,0,0,0
"282","Unknown_14251",0,1,0,0,0,0,0,0,0
"283","Unknown_14261",0,1,0,0,0,0,0,0,0
"284","Unknown_14281",0,1,0,0,0,0,0,0,0
"285","Unknown_14282",0,1,0,0,0,0,0,0,0
"286","Unknown_14313",0,0,0,0,0,1,0,0,0
"287","Unknown_14317",0,0,0,0,0,1,0,0,0
"288","Unknown_14319",0,0,0,0,0,1,0,0,0
"289","Unknown_14356",0,0,0,0,0,0,0,1,0
"290","unknown_14357",0,0,0,0,0,0,0,1,0
"291","Unknown_14358",0,0,0,0,0,0,0,1,0
"292","Unknown_14439",0,0,0,0,0,0,1,0,0
"293","Unknown_14447",0,0,0,0,0,0,1,0,0
"294","Unknown_14462",0,0,0,0,0,0,1,0,0
"295","Unknown_14463",0,0,0,0,0,0,1,0,0
"296","Unknown_14636",0,0,0,0,1,0,0,0,0
"297","Unknown_14639",0,0,0,0,1,0,0,0,0
"298","Unknown_14640",0,0,0,0,1,0,0,0,0
"299","Unknown_14641",0,0,0,0,1,0,0,0,0
"300","Unknown_14642",0,0,0,0,1,0,0,0,0
"301","Unknown_14643",0,0,0,0,1,0,0,0,0
"302","Unknown_14673",0,0,1,0,0,0,0,0,0
"303","Unknown_14674",0,0,1,0,0,0,0,0,0
"304","Unknown_14676",0,0,1,0,0,0,0,0,0
"305","Unknown_14677",0,0,1,0,0,0,0,0,0
"306","Unknown_14692",0,0,1,0,0,0,0,0,0
"307","Unknown_14706",0,0,1,0,0,0,0,0,0
