"","Annotated.Name","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"123","Salix_arctica",0,0,0,0,1,0,1,0,0
"124","Salix_nivalis",0,0,1,0,0,0,0,0,0
"125","Saxifraga_bronchialis",1,0,0,0,0,0,0,0,0
"126","Saxifraga_mertensiana",0,0,0,0,1,0,1,0,0
"127","Saxifraga_oppositifolia",0,0,1,0,0,0,0,0,0
"128","Sedum_debile",0,1,1,0,0,0,0,0,0
"129","Sedum_lanceolatum_var_lanceolatum",1,0,1,1,1,1,1,0,1
"130","Senecio_fremontii",1,1,1,0,0,0,1,1,0
"131","Senecio_residifolius",0,0,0,0,1,0,0,0,0
"132","Senecio_werneriifolius",0,1,1,0,0,0,0,1,0
"133","Sibbaldia_procumbens",1,1,0,1,0,1,1,0,0
"134","Silene_acaulis",0,0,0,0,0,0,0,0,1
"135","Smelowskia_calycina",0,0,1,0,1,0,1,1,1
"136","Solidago_multiradiata",0,0,1,1,1,0,1,0,0
"137","Stenotus_acaulis",0,1,1,0,0,0,0,0,0
"138","Stipa_sp",0,0,0,0,0,0,0,0,1
"139","Synthyris_pinnatifida_var_cenescens",0,0,0,0,0,0,0,0,1
"140","Taraxacum_lyratum",0,0,0,0,1,0,1,0,0
"141","Tonestus_lyallii",0,0,0,0,1,1,0,1,0
"142","Veronica_wormskjoldii",0,0,0,0,1,0,0,0,0
"143","Viola_adunca",0,0,0,0,1,0,0,0,0
