"","x"
"236","Lewisia_pygmaea_var_pygmara_14592"
"237","Lewisia_pygmaea_var_pygmara_14010"
"238","Cistanthe_umbellata_14434"
"239","Arabis_sp_14454"
"240","Draba_lonchocarpa_14455"
"241","Arabis_sp_14683"
"242","Arabis_cf_lemmonii_14266"
"243","Arabis_cf_lemmonii_14345"
"244","Arabis_cf_lemonii_13546"
"245","Unknown_14706"
"246","Arabis_microphylla_14306"
"247","Arabis_microphylla_14011"
"248","Arabis_cf_lemonii_14668"
"249","Arabis_cf_lemonii_14630"
"250","Erysimum_asperum_14235"
"251","Erysimum_asperum_14302"
"252","Smelowskia_calycina_14469"
"253","Smelowskia_calycina_14465"
"254","Smelowskia_calycina_14617"
"255","Smelowskia_calycina_14352"
"256","Smelowskia_calycina_13550"
"257","Smelowskia_calycina_14693"
"258","Draba_lonchocarpa_14694"
"259","Draba_lonchocarpa_14690"
"260","Draba_lonchocarpa_14610"
"261","Draba_lonchocarpa_14629"
"262","Draba_oligosperma_14604"
"263","Draba_cf_lonchocarpa_14268"
"264","Draba_cf_densifolia_14605"
"265","Draba_cf_densifolia_14241"
"266","Draba_oligosperma_14688"
"267","Draba_cf_oreibata_14404"
"268","Draba_oreibata_14335"
"269","Draba_oreibata_14217"
"270","Draba_oligosperma_14703"
"271","Draba_cf_crassifolia_14218"
"272","Draba_cf_crassifolia_13569"
"273","Sedum_lanceolatum_var_lanceolatum_14444"
"274","Sedum_lanceolatum_var_lanceolatum_13576"
"275","Sedum_lanceolatum_var_lanceolatum_13539"
"276","Sedum_lanceolatum_var_lanceolatum_14300"
"277","Sedum_lanceolatum_var_lanceolatum_14137"
"278","Sedum_lanceolatum_var_lanceolatum_14611"
"279","Sedum_lanceolatum_var_lanceolatum_14655"
"280","Sedum_debile_14272"
"281","Sedum_debile_14656"
"282","Epilobium_alpinum_14675"
"283","Epilobium_alpinum_14301"
"284","Epilobium_alpinum_14409"
"285","Epilobium_alpinum_14339"
"286","Epilobium_alpinum_var_clavatum_14123"
"287","Epilobium_alpinum_14252"
"288","Epilobium_obcordatum_14130"
"289","Potentilla_glandulosa_14634"
"290","Potentilla_glandulosa_14442"
"291","Potentilla_glandulosa_14255"
"292","Potentilla_brevifolia_14015"
"293","Potentilla_brevifolia_14328"
"294","Potentilla_glaucophylla_var_glaucophylla_14572"
"295","Potentilla_glaucophylla_var_glaucophylla_14426"
"296","Potentilla_glaucophylla_var_glaucophylla_14593"
"297","Ivesia_gordonii_13559"
"298","Ivesia_gordonii_14024"
"299","Ivesia_gordonii_14664"
"300","Ivesia_gordonii_14347"
"301","Ivesia_gordonii_14613"
"302","Sibbaldia_procumbens_14323"
"303","Sibbaldia_procumbens_14425"
"304","Sibbaldia_procumbens_14256"
"305","Sibbaldia_procumbens_13574"
"306","Potentilla_glaucophylla_var_glaucophylla_14651"
"307","Sibbaldia_procumbens_14227"
"308","Potentilla_glandulosa_var_glandulosa_14230"
"309","Potentilla_glandulosa_14405"
"310","Potentilla_glandulosa_14314"
"311","Dasiphora_fruticosa_14415"
"312","Astragalus_kentrophyta_14701"
"313","Astragalus_kentrophyta_14620"
"314","Astragalus_kentrophyta_14456"
"315","Astragalus_alpinus_14427"
"316","Astragalus_cf_eucosmus_14598"
"317","Oxytropis_cf_deflexa_14691"
"318","Oxytropis_cf_deflexa_14678"
"319","Oxytropis_parryi_14695"
"320","Lupinus_argenteus_var_depressus_14408"
"321","Lupinus_argenteus_var_depressus_14647"
"322","Lupinus_argenteus_var_depressus_14286"
"323","Salix_nivalis_14660"
"324","Salix_arctica_14421"
"325","Salix_arctica_14578"
"326","Viola_cf_adunca_14576"
"327","Parnassia_fimbriata_14370"
"328","Heuchera_parvifolia_var_dissecta_14320"
"329","Heuchera_parvifolia_var_dissecta_14216"
"330","Heuchera_parvifolia_var_dissecta_14346"
"331","Heuchera_parvifolia_var_dissecta_14625"
"332","Heuchera_parvifolia_var_dissecta_14449"
"333","Heuchera_parvifolia_var_dissecta_14250"
"334","Saxifraga_oppositifolia_14708"
"335","Saxifraga_bronchialis_14006"
"336","Saxifraga_mertensiana_14570"
"337","Saxifraga_mertensiana_14424"
"338","Ribes_lacustre_14259"
"339","Ribes_lacustre_14618"
"340","Ribes_lacustre_14436"
"341","Ribes_lacustre_14002"
"342","Anemone_drummondii_14309"
"343","Anemone_drummondii_14682"
"344","Anemone_drummondii_var_drummondii_13562"
"345","Ranunculus_eschscholtzii_var_eschscholtzii_14027"
"346","Ranunculus_eschscholtzii_14239"
"347","Aquilegia_flavescens_14428"
"348","unknown_14357"
"349","Unknown_14281"
"350","Unknown_14643"
"351","Poa_sp_14007"
"352","Poa_sp_14132"
"353","Poa_sp_13568"
"354","Unknown_14642"
"355","Unknown_14462"
"356","Unknown_14674"
"357","Unknown_14282"
"358","Unknown_14367"
"359","Juncus_sp_14590"
"360","Unknown_14594"
"361","Unknown_14423"
"362","Poa_sp_13566"
"363","Festuca_sp_14318"
"364","Festuca_sp_14262"
"365","Unknown_14640"
"366","Unknown_14407"
"367","Unknown_14662"
"368","Unknown_14585"
"369","Hordium_sp_14225"
"370","Unknown_14251"
"371","Unknown_14673"
"372","Unknown_14439"
"373","Unknown_14356"
"374","Unknown_14636"
"375","Poa_sp_13551"
"376","Unknown_14641"
"377","Unknown_14319"
"378","Unknown_14677"
"379","Unknown_14692"
"380","Unknown_14411"
"381","Poa_sp_14138"
"382","Unknown_14317"
"383","Unknown_14261"
"384","Unknown_14313"
"385","Unknown_14358"
"386","Unknown_14463"
"387","Unknown_14652"
"388","Luzula_sp_14295"
"389","Stipa_sp_13552"
"390","Unknown_14639"
"391","Carex_elynoides_14603"
"392","Carex_sp_13549"
"393","Carex_sp_14026"
"394","Carex_sp_14458"
"395","Carex_sp_14018"
"396","Carex_sp_14226"
"397","Carex_sp_13563"
"398","Carex_sp_13548"
"399","Carex_cf_straminiformis_14635"
"400","Carex_microptera_14638"
"401","Carex_cf_straminiformis_14468"
"402","Juncus_sp_14003"
"403","Juncus_sp_13547"
"404","Luzula_sp_14269"
"405","Juncus_sp_13572"
"406","Juncus_sp_14637"
"407","Juncus_sp_14440"
"408","Luzula_sp_14025"
"409","Luzula_sp_14129"
"410","Juncus_sp_14263"
"411","Luzula_sp_14228"
"412","Juncus_sp_14325"
"413","Juncus_sp_14658"
"414","Pinus_albicaulis_13573"
"415","Pinus_albicaulis_14030"
"416","Pinus_albicaulis_14231"
"417","Picea_engelmannii_13571"
"418","Abies_lasiocarpa_14351"
"419","Abies_lasiocarpa_14232"
"420","Abies_lasiocarpa_14029"
"421","Juniperus_communis_14233"
"422","Juniperus_communis_14031"
"423","Juniperus_communis_14285"
"424","Juniperus_communis_14330"
