Accepted Name GenBank,Accepted Name GenBank MiSeq Data,MiSeq_Label_190402,PHLAWD,MiSeq Label 190117,MiSeq Accession Number,DNA accession Number,Extraction Date,Collection ,Date Collected,Locality,Summit,Range,Meadow,Occurrence,Elevation (ft),WGS N,WGS W,Herbarium,Barcode,Specimen_voucher,Collected_by,Collection_date,Country,Lat_Lon,Tissue_type
Antennaria_media,Antennaria_media,Antennaria_media_14360,Antennaria_alpina,Antennaria_alpina_14360,14360,2014-360,2-Jun-14,Marx 2013-131,22-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountians: Snowyside Peak: collected at second treeline only,Snowyside Peak,Sawtooth Mountains,0,1,10651,43.93825,-114.97142,ID,ID169419,ID:169133,H.E. Marx,22-Jul-13,"USA: Idaho, Sawtooth Mountains, Snowyside Peak",43.93825 N 114.97142 W,Leaf
Antennaria_media,Antennaria_media,Antennaria_media_14258,Antennaria_alpina,Antennaria_alpina_14258,14258,2014-258,19-May-14,Marx 2013-164,25-Jul-13,Idaho: Sawtooth National Forest:White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak,White Cloud Mountains,0,1,11815,44.04019,-114.58878,ID,ID169436,ID:169117,H.E. Marx,25-Jul-13,"USA: Idaho, White Cloud Mountains, Castle Peak",44.04019 N 114.58878 W,Leaf
Antennaria_media,Antennaria_media,Antennaria_media_14591,Antennaria_alpina,Antennaria_alpina_14591,14591,2014-591,12-Jun-14,Marx 2013-290,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: in meadow above treeline,Hyndman Peak,Pioneer Mountians,1,1,10770,43.74357,-114.12403,ID,ID169510,ID:169223,H.E. Marx,9-Aug-13,"USA: Idaho, Pioneer Mountians, Hyndman Peak",43.74357 N 114.12403 W,Leaf
Antennaria_media,Antennaria_media,Antennaria_media_14661,Antennaria_alpina,Antennaria_alpina_14661,14661,2014-661,24-Jun-14,Marx 2013-362,14-Aug-13,Idaho: Sawtooth National Forest:White Cloud Mountains: D.O. Lee Peak: collected in alpine meadow,D.O. Lee Peak,White Cloud Mountains,1,1,9814,44.10969,-114.63886,ID,ID169737,ID:169428,H.E. Marx,14-Aug-13,"USA: Idaho, White Cloud Mountains, D.O. Lee Peak",44.10969 N 114.63886 W,Leaf
Antennaria_media,Antennaria_media,Antennaria_media_14684,Antennaria_alpina,Antennaria_alpina_14684,14684,2014-684,25-Jun-14,Marx 2013-387,14-Aug-13,"Idaho: Sawtooth National Forest:White Cloud Mountains: D.O. Lee Peak: in talus, north face then west to treeline",D.O. Lee Peak,White Cloud Mountains,0,1,11342,44.10277,-114.62859,ID,ID169750,ID:169427,H.E. Marx,14-Aug-13,"USA: Idaho, White Cloud Mountains, D.O. Lee Peak",44.10277 N 114.62859 W,Leaf
Antennaria_corymbosa,Antennaria_corymbosa,Antennaria_corymbosa_14418,Antennaria_corymbosa,Antennaria_corymbosa_14418,14418,2014-418,6-Jun-14,Marx 2013-212,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: Meadow above treeline,Salzburger Spitzl,Pioneer Mountians,1,1,10089,43.76619,-114.15839,ID,ID169700,ID:169409,H.E. Marx,7-Aug-13,"USA: Idaho, Pioneer Mountians, Salzburger Spitzl",43.76619 N 114.15839 W,Leaf
Antennaria_lanata,Antennaria_lanata,Antennaria_lanata_14016,Antennaria_lanata,Antennaria_lanata_14016,14016,2014-016,7-Jan-14,Clevenger 2012-007,1-Aug-12,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",Thompson Peak,Sawtooth Mountains,1,1,10105,44.14219,-115.01358,ID,ID169580,ID:169251,B.R. Clevenger & H.E. Marx,1-Aug-12,"USA: Idaho, Sawtooth Mountains, Thompson Peak",44.14219 N 115.01358 W,Leaf
Antennaria_lanata,Antennaria_lanata,Antennaria_lanata_14312,Antennaria_lanata,Antennaria_lanata_14312,14312,2014-312,30-May-14,Marx 2013-081,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117,ID,ID169646,ID:169355,H.E. Marx,19-Jul-13,"USA: Idaho, Sawtooth Mountains, Mount Cramer",44.01108 N 114.98117 W,Leaf
Antennaria_microphylla,Antennaria_microphylla,Antennaria_microphylla_14004,Antennaria_microphylla,Antennaria_microphylla_14004,14004,2014-004,7-Jan-14,Marx 2012-051,10-Aug-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Braxon Peak: Summit down south face to treeline,Braxon Peak,Sawtooth Mountains,0,1,10353,44.09333,-115.99681,ID,ID169468,ID:169171,H.E. Marx,10-Aug-12,"USA: Idaho, Sawtooth Mountains, Braxon Peak",44.09333 N 115.99681 W,Leaf
Antennaria_microphylla,Antennaria_microphylla,Antennaria_microphylla_14348,Antennaria_microphylla,Antennaria_microphylla_14348,14348,2014-348,2-Jun-14,Marx 2013-117,22-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountians: Snowyside Peak: along west face and south ridge line (trail to summit),Snowyside Peak,Sawtooth Mountains,0,1,10651,43.93825,-114.97142,ID,ID169446,ID:169164,H.E. Marx,22-Jul-13,"USA: Idaho, Sawtooth Mountains, Snowyside Peak",43.93825 N 114.97142 W,Leaf
Antennaria_rosea,Antennaria_rosea,Antennaria_rosea_14273,Antennaria_rosea,Antennaria_rosea_14273,14273,2014-273,19-May-14,Marx 2013-179,25-Jul-13,Idaho: Sawtooth National Forest:White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak,White Cloud Mountains,0,1,11815,44.04019,-114.58878,ID,ID169388,ID:169104,H.E. Marx,25-Jul-13,"USA: Idaho, White Cloud Mountains, Castle Peak",44.04019 N 114.58878 W,Leaf
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_13540,Antennaria_umbrinella,Antennaria_umbrinella_13540,13540,2013-540,5-Dec-13,Marx 2012-005,31-Jul-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,Thompson Peak,Sawtooth Mountains,0,1,10661,44.14139,-115.01,ID,ID169555,ID:169278,H.E. Marx,31-Jul-12,"USA: Idaho, Sawtooth Mountains, Thompson Peak",44.14139 N 115.01 W,Leaf
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_14446,Antennaria_umbrinella,Antennaria_umbrinella_14446,14446,2014-446,10-Jun-14,Marx 2013-244,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942,ID,ID169683,ID:169404,H.E. Marx,7-Aug-13,"USA: Idaho, Pioneer Mountians, Salzburger Spitzl",43.77446 N 114.15942 W,Leaf
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_14460,Antennaria_umbrinella,Antennaria_umbrinella_14460,14460,2014-460,10-Jun-14,Marx 2013-258,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942,ID,ID169713,ID:169385,H.E. Marx,7-Aug-13,"USA: Idaho, Pioneer Mountians, Salzburger Spitzl",43.77446 N 114.15942 W,Leaf
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_14601,Antennaria_umbrinella,Antennaria_umbrinella_14601,14601,2014-601,12-Jun-14,Marx 2013-300,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: south facing talus/boulder field from summit,Hyndman Peak,Pioneer Mountians,0,1,12009,43.74938,-114.1312,ID,ID169509,ID:169222,H.E. Marx,9-Aug-13,"USA: Idaho, Pioneer Mountians, Hyndman Peak",43.74938 N 114.1312 W,Leaf
Antennaria_umbrinella,Antennaria_umbrinella,Antennaria_umbrinella_14223,Antennaria_umbrinella,Antennaria_umbrinella_14223,14223,2014-223,20-Feb-14,Zion  2012-025,7-Aug-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Horstmann Peak: Just below summit to the SW,Horstmann Peak,Sawtooth Mountains,0,1,10350,44.1117,-115.00318,ID,ID169614,ID:169321,P.Z. Klos & H.E. Marx,7-Aug-12,"USA: Idaho, Sawtooth Mountains, Horstmann Peak",44.1117 N 115.00318 W,Leaf
Aquilegia_flavescens,Aquilegia_flavescens,Aquilegia_flavescens_14428,Aquilegia_flavescens,Aquilegia_flavescens_14428,14428,2014-428,6-Jun-14,Marx 2013-224,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942,ID,ID169666,ID:169360,H.E. Marx,7-Aug-13,"USA: Idaho, Pioneer Mountians, Salzburger Spitzl",43.77446 N 114.15942 W,Leaf
Boechera_lemmonii,Boechera_lemmonii,Boechera_cf_lemmonii_13546,Boechera_lemmonii,Arabis_cf_lemonii_13546,13546,2013-546,10-Dec-13,Marx 2012-011,31-Jul-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,Thompson Peak,Sawtooth Mountains,0,1,10661,44.14139,-115.01,ID,ID169592,ID:169289,H.E. Marx,31-Jul-12,"USA: Idaho, Sawtooth Mountains, Thompson Peak",44.14139 N 115.01 W,Leaf
Boechera_lemmonii,Boechera_lemmonii,Boechera_cf_lemmonii_14345,Boechera_lemmonii,Arabis_cf_lemmonii_14345,14345,2014-345,2-Jun-14,Marx 2013-114,22-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountians: Snowyside Peak: along west face and south ridge line (trail to summit),Snowyside Peak,Sawtooth Mountains,0,1,10651,43.93825,-114.97142,ID,ID169417,ID:169140,H.E. Marx,22-Jul-13,"USA: Idaho, Sawtooth Mountains, Snowyside Peak",43.93825 N 114.97142 W,Leaf
Boechera_lemmonii,Boechera_lemmonii,Boechera_cf_lemmonii_14266,Boechera_lemmonii,Arabis_cf_lemmonii_14266,14266,2014-266,19-May-14,Marx 2013-172,25-Jul-13,Idaho: Sawtooth National Forest:White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak,White Cloud Mountains,0,1,11815,44.04019,-114.58878,ID,ID169439,ID:169124,H.E. Marx,25-Jul-13,"USA: Idaho, White Cloud Mountains, Castle Peak",44.04019 N 114.58878 W,Leaf
Boechera_lemmonii,,Boechera_cf_lemmonii_NA,Boechera_lemmonii,NA,NA,,,Marx 2013-195,25-Jul-13,Idaho: Sawtooth National Forest:White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak,White Cloud Mountains,0,1,11815,44.04019,-114.58878,ID,ID169421,ID:169122,H.E. Marx,25-Jul-13,"USA: Idaho, White Cloud Mountains, Castle Peak",44.04019 N 114.58878 W,Leaf
Boechera_lemmonii,Boechera_lemmonii,Boechera_cf_lemmonii_14454,Boechera_lemmonii,Arabis_cf_lemmonii_14454,14454,2014-454,10-Jun-14,Marx 2013-252,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: talus down from summit,Salzburger Spitzl,Pioneer Mountians,0,1,11600,43.77446,-114.15942,ID,ID179696,ID:174317,H.E. Marx,7-Aug-13,"USA: Idaho, Pioneer Mountians, Salzburger Spitzl",43.77446 N 114.15942 W,Leaf
Boechera_lemmonii,Boechera_lemmonii,Boechera_cf_lemmonii_14630,Boechera_lemmonii,Arabis_cf_lemonii_14630,14630,2014-630,18-Jun-14,Marx 2013-329,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: south facing talus/boulder field from summit,Hyndman Peak,Pioneer Mountians,0,1,12009,43.74938,-114.1312,ID,ID169527,ID:169247,H.E. Marx,9-Aug-13,"USA: Idaho, Pioneer Mountians, Hyndman Peak",43.74938 N 114.1312 W,Leaf
Boechera_lemmonii,Boechera_lemmonii,Boechera_cf_lemmonii_14668,Boechera_lemmonii,Arabis_cf_lemonii_14668,14668,2014-668,25-Jun-14,Marx 2013-370,14-Aug-13,Idaho: Sawtooth National Forest:White Cloud Mountains: D.O. Lee Peak: collected in alpine meadow,D.O. Lee Peak,White Cloud Mountains,1,1,9814,44.10969,-114.63886,ID,ID169719,ID:169431,H.E. Marx,14-Aug-13,"USA: Idaho, White Cloud Mountains, D.O. Lee Peak",44.10969 N 114.63886 W,Leaf
Boechera_lemmonii,Boechera_lemmonii,Boechera_cf_lemmonii_14683,Boechera_lemmonii,Arabis_cf_lemmonii_14683,14683,2014-683,25-Jun-14,Marx 2013-386,14-Aug-13,"Idaho: Sawtooth National Forest:White Cloud Mountains: D.O. Lee Peak: in talus, north face then west to treeline",D.O. Lee Peak,White Cloud Mountains,0,1,11342,44.10277,-114.62859,ID,ID179617,ID:174236,H.E. Marx,14-Aug-13,"USA: Idaho, White Cloud Mountains, D.O. Lee Peak",44.10277 N 114.62859 W,Leaf
Boechera_microphylla,Boechera_microphylla,Boechera_microphylla_14011,Boechera_microphylla,Arabis_microphylla_14011,14011,2014-011,7-Jan-14,Clevenger 2012-002,1-Aug-12,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",Thompson Peak,Sawtooth Mountains,1,1,10105,44.14219,-115.01358,ID,ID169576,ID:169255,B.R. Clevenger & H.E. Marx,1-Aug-12,"USA: Idaho, Sawtooth Mountains, Thompson Peak",44.14219 N 115.01358 W,Leaf
Boechera_microphylla,,Boechera_microphylla_NA,Boechera_microphylla,NA,NA,,,Marx 2013-064,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117,ID,ID169704,ID:169373,H.E. Marx,19-Jul-13,"USA: Idaho, Sawtooth Mountains, Mount Cramer",44.01108 N 114.98117 W,Leaf
Boechera_microphylla,Boechera_microphylla,Boechera_microphylla_14306,Boechera_microphylla,Arabis_microphylla_14306,14306,2014-306,26-May-14,Marx 2013-075,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117,ID,ID169676,ID:169375,H.E. Marx,19-Jul-13,"USA: Idaho, Sawtooth Mountains, Mount Cramer",44.01108 N 114.98117 W,Leaf
Boechera_microphylla,,Boechera_microphylla_NA,Boechera_microphylla,NA,NA,,,Marx 2013-196,25-Jul-13,Idaho: Sawtooth National Forest:White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak,White Cloud Mountains,0,1,11815,44.04019,-114.58878,ID,ID169440,ID:169123,H.E. Marx,25-Jul-13,"USA: Idaho, White Cloud Mountains, Castle Peak",44.04019 N 114.58878 W,Leaf
Arnica_chamissonis,Arnica_chamissonis,Arnica_chamissonis_14416,,Arnica_chamissonis_14416,14416,2014-416,6-Jun-14,Marx 2013-210,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: Meadow above treeline,Salzburger Spitzl,Pioneer Mountians,1,1,10089,43.76619,-114.15839,ID,ID169653,ID:169358,H.E. Marx,7-Aug-13,"USA: Idaho, Pioneer Mountians, Salzburger Spitzl",43.76619 N 114.15839 W,Leaf
Arnica_chamissonis,Arnica_chamissonis,Arnica_chamissonis_14582,,Arnica_chamissonis_14582,14582,2014-582,12-Jun-14,Marx 2013-281,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: in meadow above treeline,Hyndman Peak,Pioneer Mountians,1,1,10770,43.74357,-114.12403,ID,ID169516,ID:169232,H.E. Marx,9-Aug-13,"USA: Idaho, Pioneer Mountians, Hyndman Peak",43.74357 N 114.12403 W,Leaf
