Annotated_Name,Annotated_Tip,Tip Label 190117,Tip Label 161228,Tip Label 160511,Species ,MiSeq ,PHLAWD,DNA log Species Name,DNA accession #,Tube ,Extraction Date,Collection ,Date Collected,Locality,Summit,Range,Meadow,Occurrence,Elevation (ft),WGS N,WGS W
Antennaria_alpina,Antennaria_alpina,Antennaria_alpina_14360,Antennaria_alpina_14360,Antennaria_alpina_14360,Antennaria_alpina,14360,Antennaria_alpina,Antennaria alpina,2014-360,14360,2-Jun-14,Marx 2013-131,22-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountians: Snowyside Peak: collected at second treeline only,Snowyside Peak,Sawtooth Mountains,0,1,10651,43.93825,-114.97142
Antennaria_alpina,Antennaria_alpina,Antennaria_alpina_14258,Antennaria_alpina_14258,Antennaria_alpina_14258,Antennaria_alpina,14258,Antennaria_alpina,Antennaria alpina,2014-258,14258,19-May-14,Marx 2013-164,25-Jul-13,Idaho: Sawtooth National Forest: White Cloud Mountains: Castle Peak: summit down southwest slope to treeline ,Castle Peak, White Cloud Mountains,0,1,11815,44.04019,-114.58878
Antennaria_alpina,Antennaria_alpina,Antennaria_alpina_14591,Antennaria_alpina_14591,Antennaria_alpina_14591,Antennaria_alpina,14591,Antennaria_alpina,Antennaria alpina,2014-591,14591,12-Jun-14,Marx 2013-290,9-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountains: Hyndman Peak: in meadow above treeline,Hyndman Peak,Pioneer Mountians,1,1,10770,43.74357,-114.12403
Antennaria_alpina,Antennaria_alpina,Antennaria_alpina_14661,Antennaria_alpina_14661,Antennaria_alpina_14661,Antennaria_alpina,14661,Antennaria_alpina,Antennaria alpina,2014-661,14661,24-Jun-14,Marx 2013-362,14-Aug-13,Idaho: Sawtooth National Forest: White Cloud Mountains: D.O. Lee Peak: collected in alpine meadow,D.O. Lee Peak,White Cloud Mountains,1,1,9814,44.10969,-114.63886
Antennaria_alpina,Antennaria_alpina,Antennaria_alpina_14684,Antennaria_alpina_14684,Antennaria_alpina_14684,Antennaria_alpina,14684,Antennaria_alpina,Antennaria alpina,2014-684,14684,25-Jun-14,Marx 2013-387,14-Aug-13,"Idaho: Sawtooth National Forest: White Cloud Mountains: D.O. Lee Peak: in talus, north face then west to treeline",D.O. Lee Peak,White Cloud Mountains,0,1,11342,44.10277,-114.62859
Antennaria_corymbosa,Antennaria_corymbosa,Antennaria_corymbosa_14418,Antennaria_corymbosa_14418,Antennaria_corymbosa_14418,Antennaria_corymbosa,14418,Antennaria_corymbosa,Antennaria corymbosa,2014-418,14418,6-Jun-14,Marx 2013-212,7-Aug-13,Idaho: Sawtooth National Forest: Pioneer Mountians: Salzburger Spitzl: Meadow above treeline,Salzburger Spitzl,Pioneer Mountians,1,1,10089,43.76619,-114.15839
Antennaria_lanata,Antennaria_lanata,Antennaria_lanata_14016,Antennaria_lanata_14016,Antennaria_lanata_14016,Antennaria_lanata,14016,Antennaria_lanata,Antennaria lanata,2014-016,14016,7-Jan-14,Clevenger 2012-007,1-Aug-12,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",Thompson Peak,Sawtooth Mountains,1,1,10105,44.14219,-115.01358
Antennaria_lanata,Antennaria_lanata,Antennaria_lanata_14312,Antennaria_lanata_14312,Antennaria_lanata_14312,Antennaria_lanata,14312,Antennaria_lanata,Antennaria lanata,2014-312,14312,30-May-14,Marx 2013-081,19-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountains: Mount Cramer: east ridge from summit to treeline,Mount Cramer,Sawtooth Mountains,0,1,10716,44.01108,-114.98117
Antennaria_microphylla,Antennaria_microphylla,Antennaria_microphylla_14004,Antennaria_microphylla_14004,Antennaria_microphylla_14004,Antennaria_microphylla,14004,Antennaria_microphylla,Antennaria microphylla,2014-004,14004,7-Jan-14,Marx 2012-051,10-Aug-12,Idaho: Sawtooth National Forest: Sawtooth Mountains: Braxon Peak: Summit down south face to treeline,Braxon Peak,Sawtooth Mountains,0,1,10353,44.09333,-115.99681
Antennaria_microphylla,Antennaria_microphylla,Antennaria_microphylla_14348,Antennaria_microphylla_14348,Antennaria_microphylla_14348,Antennaria_microphylla,14348,Antennaria_microphylla,Antennaria microphylla,2014-348,14348,2-Jun-14,Marx 2013-117,22-Jul-13,Idaho: Sawtooth National Forest: Sawtooth Mountians: Snowyside Peak: along west face and south ridge line (trail to summit),Snowyside Peak,Sawtooth Mountains,0,1,10651,43.93825,-114.97142
