Annotated Name,Tip Label 160511,Species ,Extraction #,PHLAWD,DNA Log Species Name,Collection #,ID for database,Date Collected,Summit,Occurrence,Range,Meadow,Locality Detail,Elevation (ft.),WGS N,WGS W,Leaf Sample
Antennaria_lanata,Antennaria_lanata_14016,Antennaria_lanata,14016,Potentilla_brevifolia,Potentilla brevifolia,Clevenger 2012-006,Potentilla brevifolia,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Hieracium_triste,Hieracium_triste_14017,Hieracium_triste,14017,Antennaria_lanata,Antennaria lanata,Clevenger 2012-007,Antennaria lanata,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Carex_sp,Carex_sp_14018,Carex_sp,14018,Hieracium_triste,Hieracium triste,Clevenger 2012-008,Hieracium triste,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
NA,NA,NA,NA,,Carex,Clevenger 2012-009,NA,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
NA,NA,NA,NA,,NA,Clevenger 2012-010,NA,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
NA,NA,NA,NA,,NA,Clevenger 2012-011,NA,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,0
Antennaria_alpina,Antennaria_alpina_14019,Antennaria_alpina,14019,Antennaria_alpina,Antennaria alpina,Clevenger 2012-012,Antennaria alpina,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Phlox_pulvinata,Phlox_pulvinata_14020,Phlox_pulvinata,14020,,Phlox pulvinata,Clevenger 2012-013,Phlox pulvinata,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Phyllodoce_empetriformis,Phyllodoce_empetriformis_14021,Phyllodoce_empetriformis,14021,Phyllodoce_empetriformis,Phyllodoce empetriformis,Clevenger 2012-014,Phyllodoce empetriformis,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Cassiope_mertensiana_var_gracilis,Cassiope_mertensiana_var_gracilis_14022,Cassiope_mertensiana_var_gracilis,14022,Cassiope_mertensiana,Cassiope mertensiana var. gracilis,Clevenger 2012-015,Cassiope mertensiana var. gracilis,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Phyllodoce_glanduliflora,Phyllodoce_glanduliflora_14023,Phyllodoce_glanduliflora,14023,Phyllodoce_glanduliflora,Phyllodoce glanduliflora,Clevenger 2012-016,Phyllodoce glanduliflora,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Ivesia_gordonii,Ivesia_gordonii_14024,Ivesia_gordonii,14024,Ivesia_gordonii,Ivesia gordonii,Clevenger 2012-017,Ivesia gordonii,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Juncus_sp,Luzula_sp_14025,Luzula_sp,14025,,Luzula,Clevenger 2012-018,NA,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
Carex_sp,Carex_sp_14026,Carex_sp,14026,,Carex,Clevenger 2012-019,NA,1-Aug-12,Thompson Peak,1,Sawtooth Mountains,1,"Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Meadow just at base of west side of mountain, just south of a snowpack ",10105,44.14219,115.01358,1
