"","species","ITS","trnTLF","rbcL","matK","atpB","ndhF"
"Erigeron_compositus","Erigeron_compositus","miseq|13537","miseq|13537","miseq|14009","miseq|13537","miseq|14009","miseq|13537"
"Erigeron_evermannii","Erigeron_evermannii","miseq|13578","miseq|13578",NA,"miseq|13578","miseq|14224","miseq|13578"
"Erigeron_glacialis","Erigeron_glacialis","miseq|14609","ncbi|390431481",NA,"miseq|14609","miseq|14609","miseq|14609"
"Erigeron_grandiflorus","Erigeron_grandiflorus","miseq|14012","miseq|14012",NA,"miseq|14012","miseq|14012","miseq|14012"
"Erigeron_lonchophyllus","Erigeron_lonchophyllus","miseq|14612",NA,"miseq|14612","miseq|14612","miseq|14612","miseq|14612"
"Eriogonum_crocatum","Eriogonum_crocatum",NA,NA,NA,NA,NA,"miseq|14681"
"Eriogonum_crosbyae","Eriogonum_crosbyae",NA,"miseq|13541","miseq|14350",NA,"miseq|14242","miseq|13541"
"Eriogonum_flavum_var_piperi","Eriogonum_flavum",NA,"ncbi|17426705","ncbi|2815237","ncbi|15340963","miseq|14650","miseq|14650"
"Eriogonum_ovalifolium","Eriogonum_ovalifolium",NA,"miseq|13542","miseq|14349","ncbi|529274093","miseq|13542","miseq|13542"
"Eriogonum_pyrolifolium","Eriogonum_pyrolifolium","miseq|14126","miseq|13567","miseq|14126",NA,"miseq|13567","miseq|13567"
"Eritrichium_argenteum","Eritrichium_argenteum","miseq|14713","ncbi|399606334",NA,"miseq|14713",NA,"miseq|14713"
"Erysimum_capitatum","Erysimum_capitatum","ncbi|9957688","ncbi|312182215","miseq|14302","miseq|14235","miseq|14235","miseq|14235"
"Erythranthe_tilingii","Erythranthe_tilingii","ncbi|46392999","ncbi|19224302",NA,"miseq|14413","miseq|14413","miseq|14413"
"Festuca_brachyphylla_ssp_brachyphylla","Festuca_brachyphylla","miseq|13566","miseq|13566",NA,"ncbi|371533490","miseq|13566","miseq|13566"
"Gentiana_calycosa","Gentiana_calycosa","miseq|14032","miseq|14032","miseq|14577","miseq|14032","miseq|14414","miseq|14032"
"Heuchera_parvifolia","Heuchera_parvifolia","miseq|14625",NA,"miseq|14216","miseq|14216","miseq|14216","miseq|14216"
"Hieracium_triste","Hieracium_triste","miseq|14017","miseq|14017",NA,"miseq|14017","miseq|14017","miseq|14017"
"Hulsea_algida","Hulsea_algida","miseq|13545","miseq|13545","miseq|14365","miseq|13545","miseq|13575","miseq|13545"
"Ivesia_gordonii","Ivesia_gordonii","miseq|13559","miseq|13559","miseq|14613","miseq|13559","miseq|14024","miseq|13559"
"Juncus_drummondii","Juncus_drummondii",NA,"miseq|14129","miseq|14025",NA,"miseq|14129","miseq|14590"
"Juncus_parryi","Juncus_parryi","miseq|14440","miseq|14263","miseq|14658",NA,"miseq|14228",NA
"Juniperus_communis","Juniperus_communis",NA,"miseq|14031",NA,NA,"ncbi|56236589","ncbi|62467606"
"Lewisia_pygmaea","Lewisia_pygmaea","ncbi|95118472","miseq|14010","miseq|14010",NA,"miseq|14010","miseq|14010"
"Lomatium_idahoense","Lomatium_idahoense","miseq|14134","miseq|14134",NA,"ncbi|640929554",NA,"miseq|14134"
"Lupinus_argenteus_var_depressus","Lupinus_argenteus","miseq|14647","ncbi|90903926",NA,"ncbi|37518807","miseq|14647","miseq|14408"
"Luzula_piperi","Luzula_piperi","miseq|13572","miseq|13572",NA,NA,"miseq|13572","miseq|14295"
"Luzula_spicata","Luzula_spicata","miseq|13547","miseq|13547","miseq|14637","ncbi|675272435","miseq|14003","miseq|14003"
"Micranthes_ferruginea","Micranthes_ferruginea","ncbi|532159323","ncbi|260080398",NA,"ncbi|845667",NA,NA
"Musineon_divaricatum","Musineon_divaricatum","miseq|14236",NA,NA,"miseq|14236","miseq|14236","miseq|14236"
"Oxyria_digyna","Oxyria_digyna","ncbi|392612348","miseq|13580","miseq|14329","miseq|14329","miseq|14125","ncbi|218203416"
"Oxytropis_deflexa","Oxytropis_deflexa","miseq|14691","miseq|14691",NA,NA,"miseq|14691","miseq|14678"
"Oxytropis_parryi","Oxytropis_parryi","miseq|14695",NA,NA,"ncbi|330370529",NA,"miseq|14695"
"Packera_cymbalaria","Packera_cymbalaria",NA,NA,NA,NA,"miseq|14579","miseq|14579"
"Packera_subnuda","Packera_subnuda","ncbi|5080722",NA,NA,NA,NA,"miseq|14580"
"Packera_werneriifolia","Packera_werneriifolia",NA,NA,"miseq|14672",NA,"miseq|14243","miseq|14243"
