"","betadiv.PhyloSor","betadiv.PhyloSor_turn","betadiv.PhyloSor_PD","betadiv.UniFrac","betadiv.UniFrac_turn","betadiv.UniFrac_PD","betadiv.SES_PhyloSor","betadiv.SES_PhyloSor_turn","betadiv.SES_PhyloSor_PD","betadiv.SES_UniFrac","betadiv.SES_UniFrac_turn","betadiv.SES_UniFrac_PD","util.pd.Com1","util.pd.Com2","util.pd.pd.obs.tot"
"Castle Peak-Hyndman Peak",0.334745148083676,0.313915529349706,0.0208296187339692,0.501586611592898,0.47783213203222,0.0237544795606779,1.23666588777123,1.9405765278478,-1.13744430806405,1.22266193905801,1.86173306029152,-1.1943729089929,4666.230055,4391.243902,6044.709709
"Castle Peak-Mount Cramer",0.267927466130236,0.147403438018399,0.120524028111837,0.422622702460988,0.256933931229925,0.165688771231063,-0.17699056326527,-0.629390832402866,0.599018090068793,-0.133119736187137,-0.612882694332828,0.66095904919487,4666.230055,3510.375687,5183.6715
"Castle Peak-Salzburger Spitzl",0.249916802099863,0.214272669417282,0.0356441326825813,0.399893499599337,0.352923482202905,0.0469700173964323,-0.678298483118886,-0.365600018436883,-0.410043916128914,-0.654235082782626,-0.32825447085634,-0.373900155676043,4666.230055,5109.710788,6109.556358
"Castle Peak-Snowyside Peak",0.261006298201981,0.17973680046079,0.0812694977411906,0.413965098468008,0.30470660979735,0.109258488670658,0.261447630223472,0.653593267608761,-0.468023223328093,0.305197110771373,0.713377146581266,-0.553836605150712,4666.230055,3824.946818,5353.713758
"Castle Peak-Thompson Peak",0.384264545560136,0.3052535258212,0.0790110197389367,0.555189464026395,0.467730628238142,0.0874588357882528,1.40851747939849,0.884985248230665,0.656707558006598,1.37250680248758,0.906262227024918,0.445909331315426,4666.230055,3713.260687,5799.715972
"D.O. Lee Peak-Horstmann Peak",0.407351329734252,0.369474159962973,0.0378771697712798,0.578890744802397,0.539585442010768,0.0393053027916291,0.671728397675476,1.19663633354655,-0.891020627193138,0.691745942515167,1.18622599415825,-0.947303327697382,3532.159838,3983.652348,5288.694137
"D.O. Lee Peak-Hyndman Peak",0.271890446415646,0.183345852878134,0.0885445935375125,0.427537524449325,0.309877036256475,0.11766048819285,0.0971485822617077,-0.0325358509475103,0.147948077898977,0.139568518939726,0.017872458492551,0.117660260864322,3532.159838,4391.243902,5038.85076
"D.O. Lee Peak-Mount Cramer",0.384111416605172,0.38220042315374,0.00191099345143247,0.555029619721348,0.55303184220083,0.00199777752051755,0.35373225700182,1.33863563230886,-1.4356441513679,0.389898120326489,1.30435784301477,-1.40852617881664,3532.159838,3510.375687,4873.826911
"D.O. Lee Peak-Salzburger Spitzl",0.279659036173125,0.118797888330443,0.160861147842682,0.437083673490803,0.212367022801093,0.22471665068971,0.490139170357544,-1.37477277688781,2.54368922979086,0.524498142871504,-1.44836942783421,2.67625928181057,3532.159838,5109.710788,5529.323918
"D.O. Lee Peak-Snowyside Peak",0.464017868113397,0.441803614381054,0.022214253732342,0.633896454708373,0.612848532177823,0.0210479225305505,2.1549632297888,2.75944620467609,-1.2217641833363,1.99907115546551,2.47040891544015,-1.29222936963685,3532.159838,3824.946818,5385.467801
"D.O. Lee Peak-Thompson Peak",0.332644695043425,0.315536379189191,0.0171083158542342,0.499224881591692,0.479707568989718,0.0195173126019744,0.701470722892806,1.23325383540988,-0.839079144310719,0.721629621070817,1.22820182455859,-0.880224484047344,3532.159838,3713.260687,4827.785613
"Horstmann Peak-Hyndman Peak",0.330760346792356,0.296523369463464,0.0342369773288918,0.497099793497177,0.457413073219302,0.0396867202778746,-0.161006745906138,1.93036326816082,-2.2057116098123,-0.118798547606147,1.86134395825381,-2.20597043524383,3983.652348,4391.243902,5572.489919
"Horstmann Peak-Mount Cramer",0.22384329217418,0.171521704992939,0.0523215871812407,0.365803846955795,0.292818655022654,0.0729851919331413,-1.11129662535738,-1.27047779615965,0.176067354538331,-1.12675323277206,-1.32592703564471,0.352827826310938,3983.652348,3510.375687,4585.757971
"Horstmann Peak-Salzburger Spitzl",0.355962716938614,0.264937753549171,0.0910249633894437,0.525033192272836,0.418894531064168,0.106138661208669,0.562350983218355,1.16445647822195,-0.809075467297146,0.592715052121014,1.1877757513018,-0.942379062414942,3983.652348,5109.710788,6165.130692
"Horstmann Peak-Snowyside Peak",0.242125242672496,0.226402290072311,0.0157229526001847,0.389856407960201,0.369213743165731,0.0206426647944698,-0.330350821700292,0.14837757400013,-0.825682519495281,-0.290120103940877,0.197508646725994,-0.831367371620582,3983.652348,3824.946818,4849.629067
"Horstmann Peak-Thompson Peak",0.287579770608646,0.261641315785163,0.0259384548234829,0.44669818084002,0.414763391958728,0.0319347888812922,-0.787554399021277,-0.0937588405333189,-0.87830760456444,-0.766310425283735,-0.0398044014301276,-0.846571621646269,3983.652348,3713.260687,4955.19476
"Hyndman Peak-Mount Cramer",0.352788162933162,0.271584840770919,0.0812033221622436,0.521571924710274,0.427159607543396,0.0944123171668775,0.690857947572051,1.81490943409215,-1.32480041708177,0.70951019121739,1.77183663088025,-1.47182237683449,4391.243902,3510.375687,5344.608724
"Hyndman Peak-Salzburger Spitzl",0.230260728251089,0.167290851156188,0.0629698770949011,0.374328340267225,0.286630964323053,0.087697375944172,0.519767270497903,0.0933950064557363,0.602683271594077,0.555438068158185,0.136127315274797,0.547787503562778,4391.243902,5109.710788,5844.325718
"Hyndman Peak-Snowyside Peak",0.422701059694973,0.379965471195736,0.0427355884992369,0.594223300551417,0.550688374639543,0.0435349259118736,1.74103495854987,3.65065367914109,-2.15631011784465,1.65930540990757,3.22832931788212,-2.28536763841173,4391.243902,3824.946818,5844.591622
"Hyndman Peak-Thompson Peak",0.383213951561623,0.326906217828923,0.0563077337326999,0.554092085507064,0.492734472770511,0.0613576127365533,2.41128014507398,3.07189038827299,-1.09995859308306,2.24611421062505,2.82148816438096,-1.32994512081164,4391.243902,3713.260687,5605.131909
"Mount Cramer-Salzburger Spitzl",0.352587830042621,0.205106605730659,0.147481224311963,0.521352953518014,0.34039578698733,0.180957166530684,0.279990418082343,-0.127403273259669,0.441838812772996,0.319907491201252,-0.0726537042628894,0.376527474826045,3510.375687,5109.710788,5829.71203
"Mount Cramer-Snowyside Peak",0.315132355997209,0.284446240240838,0.0306861157563708,0.479240518355672,0.442908751381457,0.0363317669742146,0.617902415333453,0.862771677963961,-0.402988585022024,0.647855147671845,0.891108442052385,-0.469306331147042,3510.375687,3824.946818,4823.459984
"Mount Cramer-Thompson Peak",0.301039535963774,0.280841043495981,0.0201984924677935,0.462767698663011,0.438525990281263,0.0242417083817485,0.9469331004136,1.50148180634715,-0.863711976697535,0.959712034895977,1.4712516018147,-0.920546333810585,3510.375687,3713.260687,4699.118258
"Salzburger Spitzl-Snowyside Peak",0.280121967776277,0.159221808557967,0.12090015921831,0.437648872260011,0.274704646483546,0.162944225776465,-0.722478651320476,-0.322377071459712,-0.318835825478772,-0.701425870154563,-0.280958376438239,-0.241111823614678,5109.710788,3824.946818,5718.725738
"Salzburger Spitzl-Thompson Peak",0.462841129042639,0.361836160252327,0.101004968790312,0.632797533311833,0.531394555106078,0.101402978205755,2.34674668613564,1.72444489848445,0.472056201055247,2.15904830131097,1.65204427808348,0.102067820024407,5109.710788,3713.260687,6453.302777
"Snowyside Peak-Thompson Peak",0.391897467805246,0.38275232223145,0.00914514557379567,0.563112552281875,0.553609371798088,0.00950318048378762,1.76847130285728,2.46341997362182,-1.27132293318537,1.68149782322405,2.26008929768135,-1.2980654778338,3824.946818,3713.260687,5246.205969
