"","SampleID","PrimerPairID","BarcodeID","ProjectID","MiSeqRun"
"172","Antennaria_alpina_14019","atpB2","Lima535","atpB_S766R_S3",160222
"173","Antennaria_alpina_14019","rbcL_5","Lima535","rbcL",150807
"174","Antennaria_alpina_14019","matK","Bravo55","matK_1F_4R",160222
"175","Antennaria_alpina_14019","trnT","Hotel343","trn_ab",150807
"176","Antennaria_alpina_14019","trnLF","Hotel353","trnL_cf",141219
"177","Antennaria_alpina_14258","matK2","India428","matK_3F_3R",160222
"178","Antennaria_alpina_14258","ITS","India424","ITS",150807
"179","Antennaria_alpina_14258","atpB","Charlie140","atpB_S1494R_S611",160222
"180","Antennaria_alpina_14258","ndhF3","India428","ndhF_1318_3",160222
"181","Antennaria_alpina_14258","trnT","Alpha44","trn_ab",150807
"182","Antennaria_alpina_14258","rbcL_5","India428","rbcL",150807
"183","Antennaria_alpina_14258","atpB2","India428","atpB_S766R_S3",160222
"184","Antennaria_alpina_14258","ndhF","India428","ndhF_5_803",160222
"185","Antennaria_alpina_14258","trnLF","Alpha39","trn_cf",150807
"186","Antennaria_alpina_14258","ndhF2","Charlie140","ndhF_803_1318",160222
"187","Antennaria_alpina_14258","matK","Charlie140","matK_1F_4R",160222
"188","Antennaria_alpina_14311","atpB","Delta182","atpB_S1494R_S611",160222
"189","Antennaria_alpina_14311","matK2","Juliett470","matK_3F_3R",160222
"190","Antennaria_alpina_14311","ndhF2","Delta182","ndhF_803_1318",160222
"191","Antennaria_alpina_14311","ITS","Alpha2","ITS",150807
"192","Antennaria_alpina_14311","matK","Delta182","matK_1F_4R",160222
"193","Antennaria_alpina_14311","atpB2","Juliett470","atpB_S766R_S3",160222
"194","Antennaria_alpina_14311","ndhF3","Juliett470","ndhF_1318_3",160222
"195","Antennaria_alpina_14311","rbcL_5","Juliett470","rbcL",150807
"196","Antennaria_alpina_14311","trnT","Bravo86","trn_ab",150807
"197","Antennaria_alpina_14311","trnLF","Charlie106","trn_cf",150807
"198","Antennaria_alpina_14311","ndhF","Juliett470","ndhF_5_803",160222
"199","Antennaria_alpina_14322","matK","Echo196","matK_1F_4R",160222
"200","Antennaria_alpina_14322","ITS","Alpha15","ITS",150807
"201","Antennaria_alpina_14322","atpB","Echo196","atpB_S1494R_S611",160222
"202","Antennaria_alpina_14322","trnLF","Charlie104","trn_cf",150807
"203","Antennaria_alpina_14322","ndhF","Golf292","ndhF_5_803",160222
"204","Antennaria_alpina_14322","matK2","Golf292","matK_3F_3R",160222
"205","Antennaria_alpina_14322","atpB2","Golf292","atpB_S766R_S3",160222
"206","Antennaria_alpina_14322","trnT","Charlie100","trn_ab",150807
"207","Antennaria_alpina_14322","ndhF2","Echo196","ndhF_803_1318",160222
"208","Antennaria_alpina_14322","rbcL_5","Golf292","rbcL",150807
"209","Antennaria_alpina_14322","ndhF3","Golf292","ndhF_1318_3",160222
"210","Antennaria_alpina_14360","ndhF","Golf327","ndhF_5_803",160222
"211","Antennaria_alpina_14360","rbcL_5","Golf327","rbcL",150807
"212","Antennaria_alpina_14360","ndhF3","Golf327","ndhF_1318_3",160222
"213","Antennaria_alpina_14360","matK","Echo231","matK_1F_4R",160222
"214","Antennaria_alpina_14360","matK2","Golf327","matK_3F_3R",160222
"215","Antennaria_alpina_14360","trnLF","Delta155","trn_cf",150807
"216","Antennaria_alpina_14360","ndhF2","Echo231","ndhF_803_1318",160222
"217","Antennaria_alpina_14360","atpB","Echo231","atpB_S1494R_S611",160222
"218","Antennaria_alpina_14360","atpB2","Golf327","atpB_S766R_S3",160222
"219","Antennaria_alpina_14360","ITS","Bravo53","ITS",150807
"220","Antennaria_alpina_14360","trnT","Charlie135","trn_ab",150807
"221","Antennaria_alpina_14591","matK2","Echo240","matK_3F_3R",160222
"222","Antennaria_alpina_14591","trnT","Echo240","trn_ab",150807
"223","Antennaria_alpina_14591","ITS","Foxtrot255","ITS",150807
"224","Antennaria_alpina_14591","rbcL_5","Echo240","rbcL",150807
"225","Antennaria_alpina_14591","trnLF","Foxtrot253","trn_cf",150807
"226","Antennaria_alpina_14591","ndhF2","Golf336","ndhF_803_1318",160222
"227","Antennaria_alpina_14591","atpB2","Echo240","atpB_S766R_S3",160222
"228","Antennaria_alpina_14591","ndhF3","Echo240","ndhF_1318_3",160222
"229","Antennaria_alpina_14591","atpB","India432","atpB_S1494R_S611",160222
"230","Antennaria_alpina_14591","ndhF","Echo240","ndhF_5_803",160222
"231","Antennaria_alpina_14591","matK","Golf336","matK_1F_4R",160222
"232","Antennaria_alpina_14661","matK2","Charlie116","matK_3F_3R",160222
"233","Antennaria_alpina_14661","atpB","Kilo500","atpB_S1494R_S611",160222
"234","Antennaria_alpina_14661","matK","India404","matK_1F_4R",160222
"235","Antennaria_alpina_14661","ndhF","Charlie116","ndhF_5_803",160222
"236","Antennaria_alpina_14661","ndhF2","India404","ndhF_803_1318",160222
"237","Antennaria_alpina_14661","atpB2","Charlie116","atpB_S766R_S3",160222
"238","Antennaria_alpina_14661","trnT","India404","trn_ab",150807
"239","Antennaria_alpina_14661","ndhF3","Charlie116","ndhF_1318_3",160222
"240","Antennaria_alpina_14661","ITS","Kilo515","ITS",160222
"241","Antennaria_alpina_14661","rbcL_5","Alpha20","rbcL",150807
"242","Antennaria_alpina_14661","trnLF","Kilo513","trn_cf",150807
"243","Antennaria_alpina_14684","ndhF2","India431","ndhF_803_1318",160222
"244","Antennaria_alpina_14684","atpB","Kilo527","atpB_S1494R_S611",160222
"245","Antennaria_alpina_14684","trnLF","Lima540","trn_cf",150807
"246","Antennaria_alpina_14684","atpB2","Charlie143","atpB_S766R_S3",160222
"247","Antennaria_alpina_14684","ITS","Lima535","ITS",160222
"248","Antennaria_alpina_14684","ndhF","Charlie143","ndhF_5_803",160222
"249","Antennaria_alpina_14684","matK2","Charlie143","matK_3F_3R",160222
"250","Antennaria_alpina_14684","ndhF3","Charlie143","ndhF_1318_3",160222
"251","Antennaria_alpina_14684","rbcL_5","Alpha47","rbcL",150807
"252","Antennaria_alpina_14684","matK","India431","matK_1F_4R",160222
"253","Antennaria_alpina_14684","trnT","India431","trn_ab",150807
"254","Antennaria_corymbosa_14418","ndhF","Hotel363","ndhF_5_803",160222
"255","Antennaria_corymbosa_14418","rbcL_5","Hotel363","rbcL",150807
"256","Antennaria_corymbosa_14418","ITS","Bravo82","ITS",150807
"257","Antennaria_corymbosa_14418","atpB","Foxtrot267","atpB_S1494R_S611",160222
"258","Antennaria_corymbosa_14418","atpB2","Hotel363","atpB_S766R_S3",160222
